epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2066.79,1.09603,0.63715,1.16259,0.83794,0.72515,0.77426,0.51982,1.55596,0.86711,1.68835,0.008317,0.008317,0.008317
87,2090.49,1.08563,0.62782,1.16993,0.83656,0.71914,0.77663,0.51676,1.56593,0.86021,1.67949,0.0082972,0.0082972,0.0082972
88,2114.28,1.07921,0.63271,1.16075,0.86146,0.70581,0.77782,0.53451,1.5493,0.8493,1.66026,0.0082774,0.0082774,0.0082774
89,2139.57,1.08576,0.62251,1.15736,0.86233,0.71812,0.77294,0.5392,1.54395,0.86839,1.67688,0.0082576,0.0082576,0.0082576
90,2163.49,1.08049,0.62336,1.16314,0.72051,0.779,0.78151,0.54209,1.5401,0.85122,1.66116,0.0082378,0.0082378,0.0082378
91,2187.98,1.07718,0.61689,1.15998,0.80695,0.74192,0.76357,0.53258,1.54758,0.88146,1.67877,0.008218,0.008218,0.008218
92,2211.76,1.08373,0.61673,1.15151,0.87961,0.698,0.78011,0.53814,1.55121,0.83814,1.64929,0.0081982,0.0081982,0.0081982
93,2235.41,1.08034,0.62236,1.15999,0.81773,0.71387,0.74905,0.5068,1.53548,0.87095,1.67741,0.0081784,0.0081784,0.0081784
94,2259.04,1.07268,0.61754,1.15453,0.83322,0.73428,0.77114,0.52958,1.53054,0.85718,1.67246,0.0081586,0.0081586,0.0081586
95,2282.74,1.07992,0.61709,1.16093,0.79494,0.7236,0.76463,0.52263,1.54801,0.89099,1.65674,0.0081388,0.0081388,0.0081388
96,2306.25,1.08374,0.61724,1.15356,0.82215,0.713,0.74664,0.50349,1.54859,0.89278,1.68417,0.008119,0.008119,0.008119
97,2329.86,1.06678,0.60425,1.14876,0.75108,0.72933,0.73044,0.50251,1.54758,0.86489,1.69148,0.0080992,0.0080992,0.0080992
98,2353.6,1.07529,0.62374,1.14749,0.82096,0.71765,0.76482,0.52404,1.53896,0.86693,1.61197,0.0080794,0.0080794,0.0080794
99,2376.54,1.05876,0.60902,1.14291,0.81471,0.7323,0.76154,0.50826,1.55067,0.86961,1.68603,0.0080596,0.0080596,0.0080596
100,2399.87,1.05903,0.6061,1.15219,0.83507,0.6801,0.76316,0.51292,1.55925,0.89372,1.65173,0.0080398,0.0080398,0.0080398
101,2423.39,1.066,0.60232,1.14698,0.7589,0.7302,0.76225,0.51675,1.55879,0.88265,1.69024,0.00802,0.00802,0.00802
102,2446.76,1.0681,0.60824,1.14444,0.81099,0.72865,0.75863,0.52112,1.54857,0.85416,1.65347,0.0080002,0.0080002,0.0080002
103,2470.05,1.05434,0.59996,1.14794,0.78622,0.73682,0.78528,0.53552,1.53408,0.82477,1.64303,0.0079804,0.0079804,0.0079804
104,2493.44,1.04746,0.59713,1.13778,0.81767,0.73045,0.76556,0.51626,1.52208,0.85055,1.65068,0.0079606,0.0079606,0.0079606
105,2516.72,1.05095,0.60148,1.1446,0.79722,0.72838,0.75861,0.52247,1.5573,0.86521,1.69248,0.0079408,0.0079408,0.0079408
106,2540.26,1.05448,0.60236,1.14214,0.66222,0.75731,0.72923,0.49796,1.54946,0.84845,1.6707,0.007921,0.007921,0.007921
107,2563.59,1.04177,0.59454,1.13083,0.85553,0.72729,0.77961,0.53104,1.55071,0.83821,1.68592,0.0079012,0.0079012,0.0079012
108,2586.88,1.05336,0.59857,1.14049,0.77429,0.757,0.76959,0.51662,1.55046,0.84793,1.67035,0.0078814,0.0078814,0.0078814
109,2610.53,1.04694,0.58961,1.13896,0.81877,0.70366,0.76366,0.52444,1.55004,0.84674,1.68851,0.0078616,0.0078616,0.0078616
110,2633.93,1.03877,0.59011,1.14384,0.74169,0.72298,0.75708,0.52106,1.58887,0.86999,1.71211,0.0078418,0.0078418,0.0078418
111,2657.22,1.03731,0.58508,1.13632,0.83194,0.69648,0.75409,0.52207,1.56106,0.87164,1.68402,0.007822,0.007822,0.007822
112,2680.63,1.02771,0.5886,1.14147,0.80233,0.73809,0.76757,0.52783,1.55071,0.88282,1.67843,0.0078022,0.0078022,0.0078022
113,2703.91,1.03551,0.57676,1.12856,0.79636,0.73909,0.767,0.52141,1.54715,0.8692,1.67899,0.0077824,0.0077824,0.0077824
114,2727.48,1.0374,0.591,1.13624,0.79059,0.72199,0.76333,0.52859,1.55,0.86189,1.67763,0.0077626,0.0077626,0.0077626
115,2750.82,1.04245,0.58737,1.13264,0.77959,0.69322,0.7475,0.51119,1.56135,0.87213,1.70408,0.0077428,0.0077428,0.0077428
116,2774.11,1.02309,0.57395,1.12825,0.84072,0.71048,0.76288,0.52422,1.55384,0.85794,1.67389,0.007723,0.007723,0.007723
117,2797.47,1.03248,0.58262,1.12828,0.83769,0.71784,0.76356,0.53959,1.54131,0.8549,1.67201,0.0077032,0.0077032,0.0077032
118,2820.92,1.02376,0.5783,1.13229,0.78165,0.72591,0.77146,0.53242,1.56684,0.85929,1.66787,0.0076834,0.0076834,0.0076834
119,2844.19,1.02787,0.58317,1.13023,0.81758,0.73682,0.7769,0.53504,1.54542,0.868,1.68448,0.0076636,0.0076636,0.0076636
120,2867.82,1.02,0.58037,1.11955,0.77336,0.7219,0.74642,0.52336,1.54753,0.87376,1.67286,0.0076438,0.0076438,0.0076438
121,2891.35,1.02535,0.57554,1.12957,0.80349,0.70561,0.75432,0.51868,1.56381,0.86266,1.68569,0.007624,0.007624,0.007624
122,2914.86,1.03014,0.58666,1.13076,0.79316,0.73102,0.77735,0.53061,1.53309,0.86735,1.66453,0.0076042,0.0076042,0.0076042
123,2938.3,1.0242,0.568,1.12111,0.83403,0.72038,0.77507,0.53416,1.54043,0.85089,1.68247,0.0075844,0.0075844,0.0075844
124,2961.58,1.0037,0.56683,1.12597,0.86251,0.71564,0.78047,0.54117,1.56273,0.86021,1.72754,0.0075646,0.0075646,0.0075646
125,2984.75,1.01264,0.57742,1.1234,0.80269,0.71427,0.77392,0.52847,1.55169,0.87445,1.67706,0.0075448,0.0075448,0.0075448
126,3008.02,1.01498,0.56307,1.11919,0.81906,0.74961,0.78538,0.5442,1.54432,0.85665,1.68289,0.007525,0.007525,0.007525
127,3031.5,1.008,0.56776,1.12156,0.85096,0.71475,0.78275,0.54077,1.52737,0.84049,1.67603,0.0075052,0.0075052,0.0075052
128,3054.96,1.00598,0.56447,1.1208,0.81848,0.75135,0.7797,0.54045,1.51537,0.84088,1.658,0.0074854,0.0074854,0.0074854
129,3078.47,0.99356,0.55483,1.1121,0.83523,0.72527,0.78065,0.53707,1.53762,0.84822,1.67152,0.0074656,0.0074656,0.0074656
130,3101.87,1.01152,0.56014,1.1116,0.7862,0.72118,0.78738,0.5398,1.55495,0.85047,1.68079,0.0074458,0.0074458,0.0074458
131,3125.18,1.00366,0.56009,1.11322,0.81597,0.73245,0.78423,0.54013,1.55519,0.87508,1.69553,0.007426,0.007426,0.007426
132,3148.58,1.00542,0.5572,1.11635,0.78827,0.73045,0.76582,0.53059,1.56979,0.85787,1.70585,0.0074062,0.0074062,0.0074062
133,3172.05,0.98751,0.54624,1.10851,0.85528,0.71086,0.7811,0.53504,1.55861,0.84966,1.7104,0.0073864,0.0073864,0.0073864
134,3195.43,0.99773,0.55814,1.11567,0.81719,0.72244,0.77318,0.529,1.56319,0.87201,1.72245,0.0073666,0.0073666,0.0073666
135,3218.67,1.00399,0.55006,1.11136,0.82461,0.73089,0.77559,0.51853,1.5738,0.8823,1.70544,0.0073468,0.0073468,0.0073468
136,3242.03,0.98525,0.56141,1.11348,0.83794,0.74178,0.77577,0.53075,1.56305,0.85828,1.65418,0.007327,0.007327,0.007327
137,3266.57,0.9902,0.55747,1.11444,0.84109,0.76479,0.80418,0.53953,1.57847,0.89948,1.72479,0.0073072,0.0073072,0.0073072
138,3290.46,0.98487,0.54716,1.10487,0.79093,0.81098,0.80954,0.55258,1.53921,0.8692,1.68482,0.0072874,0.0072874,0.0072874
139,3314.44,1.00868,0.5564,1.10551,0.85054,0.73536,0.79607,0.53851,1.54909,0.86525,1.68549,0.0072676,0.0072676,0.0072676
140,3338.37,0.98412,0.55151,1.1081,0.77775,0.77582,0.7827,0.53916,1.54291,0.85629,1.69397,0.0072478,0.0072478,0.0072478
141,3361.93,0.98317,0.54823,1.10793,0.82943,0.76577,0.78858,0.54037,1.54569,0.86195,1.69623,0.007228,0.007228,0.007228
142,3385.68,0.99113,0.55681,1.10961,0.85808,0.72831,0.77958,0.53174,1.55535,0.85917,1.67971,0.0072082,0.0072082,0.0072082
143,3409.4,0.984,0.54495,1.10406,0.85711,0.71221,0.77674,0.53027,1.54807,0.86822,1.6805,0.0071884,0.0071884,0.0071884
144,3433.03,0.99968,0.55027,1.10868,0.82675,0.75426,0.77185,0.53486,1.54427,0.87172,1.69691,0.0071686,0.0071686,0.0071686
145,3456.48,0.98868,0.55389,1.09944,0.8355,0.75161,0.78369,0.53812,1.54468,0.87928,1.67429,0.0071488,0.0071488,0.0071488
146,3480.08,0.97491,0.55068,1.11164,0.80126,0.74988,0.78639,0.54123,1.55172,0.88203,1.69917,0.007129,0.007129,0.007129
147,3503.41,0.98209,0.54538,1.09804,0.82488,0.73434,0.78241,0.53754,1.54573,0.86902,1.69472,0.0071092,0.0071092,0.0071092
148,3526.87,0.99111,0.54588,1.10243,0.77632,0.74705,0.77604,0.53643,1.5438,0.87274,1.67073,0.0070894,0.0070894,0.0070894
149,3550.5,0.97256,0.53484,1.09379,0.79782,0.72839,0.77926,0.53297,1.55395,0.87692,1.6904,0.0070696,0.0070696,0.0070696
150,3574.14,0.97629,0.53491,1.09944,0.82351,0.72496,0.78032,0.52958,1.54209,0.86025,1.67741,0.0070498,0.0070498,0.0070498
151,3597.6,0.97553,0.53683,1.09227,0.83876,0.71492,0.77394,0.53323,1.55838,0.87851,1.6751,0.00703,0.00703,0.00703
152,3621.1,0.97387,0.54014,1.0981,0.83323,0.72724,0.78313,0.5448,1.56794,0.8759,1.70294,0.0070102,0.0070102,0.0070102
153,3644.38,0.96712,0.53745,1.1003,0.82903,0.72565,0.78223,0.53378,1.55732,0.8579,1.69806,0.0069904,0.0069904,0.0069904
154,3667.77,0.97458,0.54027,1.09761,0.82684,0.73358,0.78213,0.53183,1.56999,0.87315,1.68962,0.0069706,0.0069706,0.0069706
155,3691.09,0.97717,0.53874,1.0946,0.84636,0.71824,0.77111,0.53666,1.5585,0.88473,1.69832,0.0069508,0.0069508,0.0069508
